,City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
963,1260141,Pathalgaon,0,IN,1579998189,37,22.57,83.47,11.23,1.75
364,1261853,Narasannapeta,80,IN,1579998184,93,18.42,84.05,19.29,1.39
367,1263622,Mansa,13,IN,1579998184,61,29.98,75.38,9.18,0.57
306,1263752,Mangrol,0,IN,1579998172,53,21.12,70.12,21.63,6.66
292,1264976,Leh,100,IN,1579998170,94,34.17,77.58,-19.49,2.09
249,1266631,Khuldabad,20,IN,1579998163,72,20.05,75.18,16.0,0.45
43,1267390,Kavaratti,88,IN,1579998137,67,10.57,72.64,27.11,1.34
1156,1267776,Kargil,100,IN,1579998135,98,34.57,76.1,-18.84,1.42
194,1271215,Gidam,79,IN,1579998156,68,18.98,81.4,16.28,0.89
1004,1272140,Dwarka,0,IN,1579998014,69,22.24,68.97,22.12,5.21
309,1276867,Barpeta,40,IN,1579998173,93,26.32,91.0,11.0,2.61
896,1279945,Jiuquan,0,CN,1579998179,30,39.74,98.52,-9.98,2.95
658,1282256,Hithadhoo,100,MV,1579998143,79,-0.6,73.08,28.14,6.65
158,1283240,Kathmandu,75,NP,1579998151,100,27.72,85.32,6.0,1.0
958,1283285,Jumla,24,NP,1579998188,56,29.27,82.18,-5.11,2.11
163,1283339,Hetauda,75,NP,1579998152,100,27.43,85.03,6.0,1.0
288,1296736,Shwebo,0,MM,1579998169,63,22.57,95.7,11.09,2.52
1321,1298911,Pyu,20,MM,1579998813,61,18.48,96.43,10.94,2.37
1621,1337607,Kudahuvadhoo,100,MV,1579999163,79,2.67,72.89,27.34,6.28
1274,1337610,Thinadhoo,100,MV,1579998759,82,0.53,72.93,27.79,6.71
654,1337613,Kulhudhuffushi,100,MV,1579998143,66,6.62,73.07,28.02,2.88
703,1337619,Ugoofaaru,100,MV,1579998149,68,5.67,73.0,27.9,2.94
9,1486321,Yar-Sale,86,RU,1579997992,99,66.83,70.83,-20.22,2.39
